campaign_id,campaign_name,channel,start_date,end_date,total_spent,clicks,impressions,conversions,related_orders
M0001,Campanha omnis,Google Ads,2025-05-09,2025-06-07,27310.46,559,17960,491,"O067458,O039090,O047426,O069458,O025447,O067800,O043332,O011451,O004409,O037434,O010752,O049166,O044528,O038812,O005205,O036888,O014889,O007066,O043230,O048324"
M0002,Campanha aperiam,Email,2024-12-20,2025-02-12,5350.39,3718,6859,2256,"O034954,O040450,O003629,O020896,O048052,O019695,O012238,O031738,O022813,O021774,O010942,O024328,O011040,O001799,O036968,O013057,O018894,O060115,O024413,O033436,O015941,O041879,O065565,O025127"
M0003,Campanha consectetur,Facebook Ads,2024-09-18,2024-10-07,27369.25,208,19100,30,"O012404,O001829,O025019,O020353,O031635,O013028,O003544,O046812,O018165,O034755"
M0004,Campanha officiis,Instagram,2025-04-06,2025-05-29,27264.87,1578,17938,333,"O062928,O031247,O035494,O013981,O004180,O025312,O004918,O031783,O032027,O042416,O004541,O039392,O041069,O023361,O024277,O067214,O069915,O028031"
M0005,Campanha excepturi,Facebook Ads,2025-04-26,2025-05-10,22232.42,3475,18325,342,"O067425,O018710,O064624,O041915,O061390,O029227,O047251,O067264,O040893,O001967,O022908,O026000,O000123,O061858,O043397,O034541,O046862,O023891,O042212,O010554,O005337,O034336,O020981,O046292,O022214,O043149,O020111,O023528,O036189,O020891,O030958,O043756,O000956,O062726,O019875,O031705,O048517,O017739"
M0006,Campanha beatae,Email,2024-11-24,2024-12-06,8331.97,1766,10116,371,"O046060,O010491,O043093,O038312,O004762,O016743,O044975"
M0007,Campanha sunt,Email,2025-06-20,2025-07-03,43329.48,676,13864,623,"O009778,O049703,O032011,O066408,O045585,O039705,O012495,O040347,O060814,O047012,O005851,O032532,O043708,O068864,O067605,O048788"
M0008,Campanha molestiae,Email,2025-06-29,2025-08-25,30098.12,2435,4320,1927,"O034495,O065908,O065655,O017964,O067264,O068421,O016090,O045219,O032373,O025921,O011994,O033367,O006534,O018599,O000947,O008312,O033951,O001593,O019670,O045888,O025203,O036703,O007411,O039850,O005360,O002486,O063685,O029618,O032852,O043796,O068660,O031298,O048511,O013704,O014328,O026732,O066602,O022132,O013395"
M0009,Campanha suscipit,Email,2024-10-27,2024-12-21,29040.07,805,13274,839,"O044286,O049823,O032305,O062468,O011689,O042157,O045429,O038830,O060598,O026489,O005264,O032297,O017355,O029798,O041791,O049749,O025151,O020001,O066636,O034811,O015877,O063395,O043166,O067726,O039106,O034392,O018370,O026936,O045512"
M0010,Campanha aperiam,Facebook Ads,2025-02-06,2025-03-05,39512.33,1720,2485,698,"O035310,O003276,O026626,O001606,O049280,O036424,O040589,O067877,O023737,O036173,O022696,O035221,O008247"
